Name,Row,Column,Label,Unnamed: 4
mcr_lter3_out10m_pole5-6_qu5_20080404.jpg,432,1000,turf,
mcr_lter3_fringingreef_pole5-6_qu8_20080503.jpg,1493,1121,porites,
mcr_lter2_fringingreef_pole2-3_qu4_20090402.jpg,1334,1258,porites,
mcr_lter6_out17m_pole2-3_qu5_20090331.jpg,212,691,crustose_coralline_algae,
mcr_lter5_out17m_pole3-4_qu5_20100408.jpg,697,298,crustose_coralline_algae,
mcr_lter1_out10m_pole1-2_qu2_20090330.jpg,57,1686,off,
mcr_lter5_out10m_pole1-2_qu6_20090423.jpg,1442,736,turf,
mcr_lter2_out17m_pole4-5_qu1_20080410.jpg,765,536,turf,
mcr_lter4_out10m_pole4-5_qu5_20100412.jpg,298,291,crustose_coralline_algae,
mcr_lter1_fringingreef_pole3-4_qu8_20080415.jpg,1107,1547,porites,
mcr_lter6_fringingreef_pole2-3_qu2_20100414.jpg,154,1218,off,
mcr_lter1_fringingreef_pole5-6_qu6_20080415.jpg,259,408,sand,
mcr_lter5_out10m_pole1-2_qu1_20100408.jpg,1171,447,crustose_coralline_algae,
mcr_lter5_fringingreef_pole2-3_qu7_20090413.jpg,1108,1258,sand,
mcr_lter5_out10m_pole5-6_qu8_20080408.jpg,1458,1687,macroalgae,
mcr_lter1_fringingreef_pole5-6_qu3_20100411.jpg,690,246,sand,
mcr_lter5_fringingreef_pole3-4_qu4_20100414.jpg,1148,546,porites,
mcr_lter5_out10m_pole5-6_qu6_20100408.jpg,541,531,macroalgae,
mcr_lter6_fringingreef_pole1-2_qu1_20080502.jpg,1057,1362,sand,
mcr_lter2_fringingreef_pole3-4_qu3_20090402.jpg,117,1730,porites,
mcr_lter4_out17m_pole5-6_qu8_20090407.jpg,766,247,sand,
mcr_lter4_out17m_pole1-2_qu4_20090407.jpg,1640,1353,macroalgae,
mcr_lter3_fringingreef_pole5-6_qu7_20080503.jpg,1292,361,sand,
mcr_lter4_out17m_pole1-2_qu3_20090407.jpg,1059,360,turf,
mcr_lter1_fringingreef_pole1-2_qu1_20080415.jpg,399,801,porites,
mcr_lter5_out17m_pole1-2_qu3_20100408.jpg,113,1209,off,
mcr_lter3_fringingreef_pole4-5_qu4_20080503.jpg,387,984,turf,
mcr_lter5_out17m_pole1-2_qu2_20080408.jpg,1282,1677,crustose_coralline_algae,
mcr_lter1_out17m_pole5-6_qu7_20100404.jpg,1656,1720,off,
mcr_lter1_fringingreef_pole1-2_qu2_20080415.jpg,1376,165,turf,
mcr_lter2_out17m_pole5-6_qu8_20090408.jpg,93,1747,off,
mcr_lter2_out17m_pole1-2_qu8_20100406.jpg,1181,953,crustose_coralline_algae,
mcr_lter6_fringingreef_pole3-4_qu4_20100414.jpg,1334,744,macroalgae,
mcr_lter2_fringingreef_pole2-3_qu8_20090402.jpg,219,1857,sand,
mcr_lter6_out10m_pole1-2_qu2_20100410.jpg,1577,1777,macroalgae,
mcr_lter1_fringingreef_pole3-4_qu2_20090402.jpg,139,790,porites,
mcr_lter1_out10m_pole5-6_qu4_20080403.jpg,745,486,macroalgae,
mcr_lter4_out17m_pole5-6_qu6_20090407.jpg,1278,802,sand,
mcr_lter2_out10m_pole1-2_qu3_20090408.jpg,1286,126,turf,
mcr_lter1_out17m_pole5-6_qu2_20090330.jpg,1597,563,crustose_coralline_algae,
mcr_lter3_fringingreef_pole2-3_qu1_20100413.jpg,748,1638,off,
mcr_lter2_fringingreef_pole2-3_qu8_20090402.jpg,447,826,sand,
mcr_lter2_out10m_pole5-6_qu6_20090408.jpg,1359,582,off,
mcr_lter5_out17m_pole4-5_qu6_20090410.jpg,1358,1928,off,
mcr_lter1_fringingreef_pole2-3_qu7_20100411.jpg,517,1619,porites,
mcr_lter1_out17m_pole5-6_qu4_20100404.jpg,1720,488,crustose_coralline_algae,
mcr_lter5_fringingreef_pole1-2_qu8_20080502.jpg,1089,130,porites,
mcr_lter3_out17m_pole4-5_qu5_20080404.jpg,389,384,crustose_coralline_algae,
mcr_lter3_out17m_pole2-3_qu1_20080404.jpg,1065,1014,macroalgae,
mcr_lter4_out17m_pole1-2_qu5_20090407.jpg,1314,1186,turf,
mcr_lter5_out10m_pole4-5_qu5_20080408.jpg,794,1606,macroalgae,
mcr_lter4_out17m_pole4-5_qu6_20080407.jpg,138,568,crustose_coralline_algae,
mcr_lter4_out17m_pole2-3_qu3_20090407.jpg,1166,310,turf,
mcr_lter5_fringingreef_pole3-4_qu6_20100414.jpg,1482,1568,porites,
mcr_lter4_out10m_pole4-5_qu7_20090407.jpg,1390,785,turf,
mcr_lter1_out10m_pole5-6_qu1_20090330.jpg,830,1930,turf,
mcr_lter2_out17m_pole4-5_qu1_20090408.jpg,92,1844,off,
mcr_lter2_out10m_pole5-6_qu8_20090408.jpg,1811,449,macroalgae,
mcr_lter4_fringingreef_pole2-3_qu1_20090412.jpg,121,1749,sand,
mcr_lter2_out17m_pole3-4_qu4_20080410.jpg,909,1384,macroalgae,
mcr_lter2_out17m_pole3-4_qu6_20090408.jpg,703,1532,sand,
mcr_lter2_out17m_pole4-5_qu1_20080410.jpg,715,648,turf,
mcr_lter3_fringingreef_pole3-4_qu5_20090412.jpg,957,1349,turf,
mcr_lter1_out10m_pole3-4_qu1_20100404.jpg,205,331,macroalgae,
mcr_lter2_out17m_pole4-5_qu7_20100406.jpg,749,461,sand,
